"lga_id","num_existing_schools","num_existing_classrooms","total_teachers","primary_js","improved_functional_water_numerator","improved_functional_water_denominator","improved_functional_water_percent","improved_sanitation_numerator","improved_sanitation_denominator","improved_sanitation_percent","phcn_electricity_numerator","phcn_electricity_denominator","phcn_electricity_percent","num_classrm_w_chalkboard_numerator","num_classrm_w_chalkboard_denominator","num_classrm_w_chalkboard_percent","num_tchrs_with_nce_numerator","num_tchrs_with_nce_denominator","num_tchrs_with_nce_percent","lga","state","zone","pop_2006"
189,87,815,1200,77,11,87,13,35,87,41,19,87,22,393,87,452,817,87,940,"Ekiti South-West","Ekiti","Southwest",165277
190,102,1061,1489,83,17,102,17,50,102,50,36,102,36,749,102,735,1023,102,1003,"Ekiti West","Ekiti","Southwest",179892
191,87,1046,1116,81,33,87,38,72,87,83,54,87,63,332,87,382,504,87,580,"Ekwusigo","Anambra","Southeast",158231
192,42,406,660,32,24,42,58,24,42,58,23,42,55,319,42,760,232,42,553,"Eleme","Rivers","South-South",190884
193,48,366,623,28,19,48,40,20,48,42,16,48,34,236,48,492,181,48,378,"Emuoha","Rivers","South-South",201901
194,59,577,799,57,6,59,11,18,59,31,15,59,26,376,59,638,466,59,790,"Emure","Ekiti","Southwest",93884
195,81,4813,1396,79,8,81,10,25,81,31,33,81,41,293,81,362,804,81,993,"Enugu East","Enugu","Southeast",279089
196,110,19156,1980,98,27,110,25,72,110,66,81,110,74,7691,110,6992,801,110,729,"Enugu North","Enugu","Southeast",244852
197,76,984,1816,71,6,76,8,46,76,61,44,76,58,404,76,532,841,76,1107,"Enugu South","Enugu","Southeast",198723
198,106,960,1201,63,72,106,68,55,106,52,46,106,44,832,106,785,455,106,430,"Epe","Lagos","Southwest",181409
199,76,2781,859,61,11,76,15,45,76,60,20,76,27,2380,76,3132,572,76,753,"Esan Central","Edo","South-South",105310
200,68,735,932,55,12,68,18,41,68,61,29,68,43,384,68,565,576,68,848,"Esan North-East","Edo","South-South",119346
201,92,1074,947,92,3,92,4,38,92,42,9,92,10,0,92,0,637,92,693,"Esan South-East","Edo","South-South",167721
202,51,497,620,48,4,51,8,19,51,38,14,51,28,264,51,518,479,51,940,"Esan West","Edo","South-South",125842
203,91,1739,579,83,6,91,7,21,91,24,9,91,10,370,91,407,390,91,429,"Ese-Odo","Ondo","Southwest",154978
204,24,339,332,21,6,24,25,17,24,71,11,24,46,182,24,759,227,24,946,"Esit-Eket","Akwa Ibom","South-South",63701
205,66,1087,1078,65,12,66,19,51,66,78,14,66,22,562,66,852,649,66,984,"Essien Udim","Akwa Ibom","South-South",192668
206,92,655,675,88,13,92,15,39,92,43,12,92,14,224,92,244,378,92,411,"Etche","Rivers","South-South",249454
207,158,1628,2563,154,59,158,38,87,158,56,63,158,40,993,158,629,1106,158,700,"Ethiope East","Delta","South-South",200792
208,109,996,1411,100,21,109,20,52,109,48,22,109,21,13,109,12,826,109,758,"Ethiope West","Delta","South-South",203592
209,56,582,746,54,14,56,25,34,56,61,14,56,25,174,56,311,498,56,890,"Etim-Eko","Akwa Ibom","South-South",105418
210,35,425,427,31,12,35,35,22,35,63,10,35,29,289,35,826,265,35,758,"Etinan","Akwa Ibom","South-South",169284
211,43,548,703,40,20,43,47,40,43,94,34,43,80,0,43,0,292,43,680,"Eti-osa","Lagos","Southwest",287785
212,42,295,394,38,4,42,10,15,42,36,18,42,43,176,42,420,273,42,650,"Etsako-Central","Edo","South-South",94575
213,76,710,836,52,10,76,14,25,76,33,21,76,28,297,76,391,555,76,731,"Etsako East","Edo","South-South",145996
214,81,986,1241,80,13,81,17,33,81,41,22,81,28,0,81,0,716,81,884,"Etsako West","Edo","South-South",197609
215,39,441,645,36,13,39,34,14,39,36,6,39,16,252,39,647,379,39,972,"Etung","Cross River","South-South",80196
216,97,689,1031,87,26,97,27,52,97,54,54,97,56,318,97,328,684,97,706,"Ewekoro","Ogun","Southwest",55156
217,54,2395,275,54,2,54,4,12,54,23,19,54,36,45,54,84,210,54,389,"Ezeagu","Enugu","Southeast",169718
218,92,2929,1084,84,28,92,31,60,92,66,13,92,15,1314,92,1429,519,92,565,"Ezinihitte","Imo","Southeast",165593
219,89,5790,1253,81,42,89,48,21,89,24,15,89,17,269,89,303,692,89,778,"Ezza North","Ebonyi","Southeast",145619
220,122,1132,1380,101,69,122,57,45,122,37,22,122,19,362,122,297,976,122,800,"Ezza South","Ebonyi","Southeast",133205
221,14,228,310,11,10,14,72,10,14,72,7,14,50,116,14,829,175,14,1250,"Fagge","Kano","Northwest",198828
222,49,282,350,46,14,49,29,15,49,31,6,49,13,132,49,270,181,49,370,"Fakai","Kebbi","Northwest",121212
223,101,1715,832,87,20,101,20,51,101,51,7,101,7,464,101,460,428,101,424,"Faskari","Katsina","Northwest",196035
224,113,563,700,103,8,113,8,31,113,28,10,113,9,380,113,337,407,113,361,"Fika","Yobe","Northeast",136895
225,149,755,994,125,34,149,23,37,149,25,20,149,14,431,149,290,543,149,365,"Fufore","Adamawa","Northeast",207287
226,21,145,376,19,8,21,39,13,21,62,8,21,39,128,21,610,118,21,562,"Funakaye","Gombe","Northeast",236087
227,112,457,668,108,17,112,16,37,112,34,7,112,7,0,112,0,279,112,250,"Fune","Yobe","Northeast",300760
228,91,1017,1164,81,15,91,17,52,91,58,21,91,24,852,91,937,614,91,675,"Funtua","Katsina","Northwest",225571
229,89,672,931,89,12,89,14,22,89,25,19,89,22,0,89,0,287,89,323,"Gabasawa","Kano","Northwest",211055
230,99,350,319,84,3,99,4,8,99,9,3,99,4,236,99,239,134,99,136,"Gada","Sokoto","Northwest",248267
231,64,284,321,55,27,64,43,20,64,32,6,64,10,234,64,366,192,64,300,"Gagarawa","Jigawa","Northwest",80394
232,19,119,139,14,2,19,11,11,19,58,6,19,32,66,19,348,72,19,379,"Gamawa","Bauchi","Northeast",286388
233,138,667,975,136,43,138,32,38,138,28,5,138,4,0,138,0,447,138,324,"Ganjuwa","Bauchi","Northeast",280468
234,131,846,1314,113,10,131,8,43,131,33,11,131,9,426,131,326,659,131,504,"Ganaye","Adamawa","Northeast",164087
235,107,446,633,92,34,107,32,25,107,24,8,107,8,395,107,370,313,107,293,"Garki","Jigawa","Northwest",152233
236,119,534,823,112,15,119,13,41,119,35,18,119,16,366,119,308,309,119,260,"Garko","Kano","Northwest",162500
237,56,329,414,55,20,56,36,27,56,49,2,56,4,0,56,0,172,56,308,"Garun Mallam","Kano","Northwest",116494
238,17,71,69,17,7,17,42,3,17,18,0,17,0,39,17,230,44,17,259,"Gashaka","Taraba","Northeast",87781
239,20,113,210,15,2,20,10,6,20,30,0,20,0,97,20,485,99,20,495,"Gassol","Taraba","Northeast",244749
240,139,816,1035,126,40,139,29,45,139,33,22,139,16,389,139,280,310,139,224,"Gaya","Kano","Northwest",201016
241,120,784,1273,91,19,120,16,24,120,20,10,120,9,367,120,306,825,120,688,"Gayuk","Adamawa","Northeast",177785
242,176,1986,1543,162,36,176,21,71,176,41,50,176,29,664,176,378,656,176,373,"Gazewa","Kano","Northwest",282069
243,213,738,920,204,44,213,21,37,213,18,22,213,11,558,213,262,482,213,227,"Gbako","Niger","North-Central",127446
244,167,1544,1834,166,26,167,16,54,167,33,46,167,28,1048,167,628,1137,167,681,"Gboko","Benue","North-Central",358936
245,103,1110,1209,102,22,103,22,53,103,52,13,103,13,639,103,621,763,103,741,"Gbonyin","Ekiti","Southwest",148193
246,22,180,134,18,3,22,14,5,22,23,2,22,10,102,22,464,73,22,332,"Geidam","Yobe","Northeast",157295
247,92,422,548,75,32,92,35,55,92,60,4,92,5,168,92,183,319,92,347,"Giade","Bauchi","Northeast",156969
248,28,92,137,27,8,28,29,6,28,22,1,28,4,52,28,186,80,28,286,"Giwa","Kaduna","Northwest",286427
249,69,456,717,42,15,69,22,21,69,31,21,69,31,231,69,335,336,69,487,"Gokana","Rivers","South-South",228828
250,112,1347,3108,74,20,112,18,95,112,85,54,112,49,1053,112,941,1620,112,1447,"Gombe","Gombe","Northeast",268000
252,105,1425,452,95,35,105,34,15,105,15,8,105,8,283,105,270,148,105,141,"Goronyo","Sokoto","Northwest",182296
254,21,100,155,19,1,21,5,11,21,53,0,21,0,69,21,329,109,21,520,"Gubio","Borno","Northeast",152778
255,26,133,118,24,5,26,20,13,26,50,1,26,4,93,26,358,30,26,116,"Gudu","Sokoto","Northwest",95544
256,61,379,639,53,8,61,14,20,61,33,9,61,15,313,61,514,225,61,369,"Gujba","Yobe","Northeast",130088
257,57,1231,391,50,6,57,11,17,57,30,1,57,2,191,57,336,189,57,332,"Gulani","Yobe","Northeast",103510
258,145,3828,838,121,21,145,15,26,145,18,21,145,15,2507,145,1729,628,145,434,"Guma","Benue","North-Central",191599
259,44,302,501,39,32,44,73,26,44,60,9,44,21,265,44,603,362,44,823,"Gumel","Jigawa","Northwest",107161
260,10,43,84,9,1,10,10,4,10,40,1,10,10,37,10,370,20,10,200,"Gummi","Zamfara","Northwest",204539
261,98,555,954,86,20,98,21,25,98,26,18,98,19,408,98,417,501,98,512,"Gurara","Niger","North-Central",90974
262,74,381,373,66,52,74,71,37,74,50,4,74,6,0,74,0,154,74,209,"Guri","Jigawa","Northwest",115018
263,160,921,1771,143,23,160,15,65,160,41,20,160,13,772,160,483,1277,160,799,"Gusau","Zamfara","Northwest",383162
264,16,107,134,16,1,16,7,5,16,32,0,16,0,0,16,0,87,16,544,"Guzamala","Borno","Northeast",95648
265,88,1467,397,84,8,88,10,21,88,24,23,88,27,284,88,323,164,88,187,"Gwadabawa","Sokoto","Northwest",231358
266,82,1057,1996,69,35,82,43,46,82,57,28,82,35,835,82,1019,1256,82,1532,"Gwagwalada","FCT","North-Central",157770
267,86,987,1816,80,46,86,54,67,86,78,44,86,52,772,86,898,628,86,731,"Gwale","Kano","Northwest",362059
268,83,688,686,78,12,83,15,23,83,28,22,83,27,443,83,534,299,83,361,"Gwandu","Kebbi","Northwest",151019
269,83,510,702,62,45,83,55,35,83,43,20,83,25,335,83,404,313,83,378,"Gwaram","Jigawa","Northwest",272582
270,130,827,1045,117,16,130,13,47,130,37,23,130,18,2463,130,1895,509,130,392,"Gwarzo","Kano","Northwest",183987
271,144,1117,1377,121,11,144,8,48,144,34,14,144,10,397,144,276,958,144,666,"Gwer East","Benue","North-Central",163647
272,112,971,808,110,3,112,3,31,112,28,2,112,2,0,112,0,647,112,578,"Gwer West","Benue","North-Central",122145
273,55,249,315,45,16,55,30,21,55,39,2,55,4,203,55,370,121,55,220,"Gwiwa","Jigawa","Northwest",124517
275,42,1587,918,33,27,42,65,37,42,89,35,42,84,1457,42,3470,484,42,1153,"Hadejia","Jigawa","Northwest",105628
276,111,709,1202,101,7,111,7,27,111,25,22,111,20,465,111,419,900,111,811,"Hawul","Borno","Northeast",120314
277,138,938,2178,96,18,138,14,53,138,39,24,138,18,705,138,511,1617,138,1172,"Hong","Adamawa","Northeast",169126
278,112,2083,2078,71,20,112,18,72,112,65,64,112,58,608,112,543,1096,112,979,"Ibadan North","Oyo","Southwest",306795
279,119,992,2027,75,15,119,13,65,119,55,44,119,37,714,119,600,1271,119,1069,"Ibadan North East","Oyo","Southwest",330399
280,83,1634,1330,71,18,83,22,53,83,64,22,83,27,267,83,322,1000,83,1205,"Ibadan North West","Oyo","Southwest",152834
281,133,1365,2511,67,20,133,16,72,133,55,71,133,54,3969,133,2985,1302,133,979,"Ibadan South East","Oyo","Southwest",266046
282,120,1316,2135,83,41,120,35,92,120,77,63,120,53,1069,120,891,1433,120,1195,"Ibadan South West","Oyo","Southwest",282585
283,73,1498,435,64,1,73,2,9,73,13,0,73,0,308,73,422,309,73,424,"Ibaji","Kogi","North-Central",128129
284,101,817,1126,84,32,101,32,42,101,42,26,101,26,632,101,626,771,101,764,"Ibarapa Central","Oyo","Southwest",102979
285,89,1618,883,73,25,89,29,35,89,40,25,89,29,529,89,595,608,89,684,"Ibarapa East","Oyo","Southwest",118226
286,84,620,666,83,18,84,22,36,84,43,2,84,3,3,84,4,484,84,577,"Ibarapa North","Oyo","Southwest",101092
287,32,231,264,27,11,32,35,18,32,57,11,32,35,0,32,0,152,32,475,"Ibeju/lekki","Lagos","Southwest",117481
288,17,234,207,15,5,17,30,11,17,65,10,17,59,112,17,659,123,17,724,"Ibeno","Akwa Ibom","South-South",75380
289,18,218,275,16,9,18,50,14,18,78,2,18,12,170,18,945,186,18,1034,"Ibesikpo-Asutan","Akwa Ibom","South-South",137101
290,84,482,804,78,6,84,8,14,84,17,1,84,2,198,84,236,419,84,499,"Ibi","Taraba","Northeast",84054
291,16,84,157,8,5,16,32,10,16,63,2,16,13,68,16,425,125,16,782,"Ibiono-Ibom","Akwa Ibom","South-South",189640
292,107,839,1130,88,33,107,31,68,107,64,26,107,25,701,107,656,676,107,632,"Idah","Kogi","North-Central",79815
293,74,729,870,70,11,74,15,39,74,53,28,74,38,603,74,815,457,74,618,"Idanre","Ondo","Southwest",129024
294,76,638,543,70,5,76,7,42,76,56,15,76,20,149,76,197,261,76,344,"Ideato North","Imo","Southeast",158406
295,60,553,403,58,1,60,2,28,60,47,3,60,5,158,60,264,200,60,334,"Ideato South","Imo","Southeast",159879
296,64,1124,1041,63,22,64,35,34,64,54,22,64,35,147,64,230,588,64,919,"Idemili North","Anambra","Southeast",430783
297,93,4027,1214,83,25,93,27,66,93,71,40,93,44,295,93,318,477,93,513,"Idemili South","Anambra","Southeast",207683
298,68,3363,499,64,10,68,15,27,68,40,14,68,21,1260,68,1853,371,68,546,"Ido","Oyo","Southwest",103261
299,94,1142,1674,83,12,94,13,48,94,52,44,94,47,1019,94,1085,1067,94,1136,"Ido Osi","Ekiti","Southwest",159114
300,71,17831,2160,50,56,71,79,64,71,91,53,71,75,3930,71,5536,751,71,1058,"Ifako-Ijaye","Lagos","Southwest",427878
301,17,191,84,16,7,17,42,6,17,36,3,17,18,174,17,1024,55,17,324,"Ifedayo","Osun","Southwest",37058
302,80,1855,1089,70,21,80,27,41,80,52,25,80,32,1763,80,2204,650,80,813,"Ifedore","Ondo","Southwest",176327
303,230,1705,2327,222,74,230,33,50,230,22,50,230,22,0,230,0,1340,230,583,"Ifelodun","Kwara","North-Central",206042
304,59,702,884,41,9,59,16,14,59,24,28,59,48,342,59,580,494,59,838,"Ifelodun","Osun","Southwest",96748
305,119,846,2003,103,42,119,36,72,119,61,39,119,33,650,119,547,1176,119,989,"Ifo","Ogun","Southwest",524837
306,211,10971,1718,205,20,211,10,51,211,25,18,211,9,10623,211,5035,1089,211,517,"Igabi","Kaduna","Northwest",430229
307,100,557,669,77,1,100,1,26,100,26,2,100,2,368,100,368,505,100,505,"Igalamela-Odolu","Kogi","North-Central",148020
308,67,535,766,65,3,67,5,29,67,44,5,67,8,1,67,2,486,67,726,"Igbo Etiti","Enugu","Southeast",209248
309,169,1343,2123,158,18,169,11,66,169,40,25,169,15,325,169,193,1430,169,847,"Igbo Eze - North","Enugu","Southeast",259431
310,74,733,1137,72,12,74,17,30,74,41,17,74,23,187,74,253,734,74,992,"Igbo-Eze South","Enugu","Southeast",147328
311,46,422,466,31,4,46,9,19,46,42,11,46,24,170,46,370,413,46,898,"Iguegben","Edo","South-South",69639
312,133,3417,1233,128,27,133,21,92,133,70,41,133,31,402,133,303,645,133,485,"Ihiala","Anambra","Southeast",302158
313,68,592,692,65,16,68,24,47,68,70,19,68,28,290,68,427,357,68,525,"Ihitte/Uboma","Imo","Southeast",120744
314,70,1614,836,65,9,70,13,4,70,6,13,70,19,487,70,696,430,70,615,"ijaye","Ondo","Southwest",290615
315,89,862,1083,79,28,89,32,46,89,52,21,89,24,490,89,551,655,89,736,"Ijebu East","Ogun","Southwest",110196
316,115,1108,1584,99,22,115,20,51,115,45,32,115,28,881,115,767,995,115,866,"Ijebu North","Ogun","Southwest",284336
317,63,651,962,57,19,63,31,48,63,77,41,63,66,513,63,815,558,63,886,"Ijebu North East","Ogun","Southwest",67634
318,170,1909,3265,144,122,170,72,128,170,76,104,170,62,1138,170,670,1780,170,1048,"Ijebu-ode","Ogun","Southwest",154032
319,83,791,872,82,5,83,7,36,83,44,21,83,26,0,83,0,663,83,799,"Ijero","Ekiti","Southwest",221405
320,157,1264,2035,118,16,157,11,61,157,39,49,157,32,1072,157,683,1033,157,658,"Ijumu","Kogi","North-Central",119929
321,43,456,617,37,8,43,19,38,43,89,1,43,3,18,43,42,418,43,973,"Ika","Akwa Ibom","South-South",72939
322,109,1387,2373,105,22,109,21,76,109,70,33,109,31,650,109,597,1357,109,1245,"Ika North","Delta","South-South",183657
323,131,802,1051,131,35,131,27,54,131,42,4,131,4,0,131,0,388,131,297,"Ikara","Kaduna","Northwest",193926
324,93,2220,1725,90,69,93,75,79,93,85,21,93,23,695,93,748,931,93,1002,"Ika South","Delta","South-South",162594
325,102,4940,1261,99,38,102,38,47,102,47,33,102,33,311,102,305,577,102,566,"Ikeduru","Imo","Southeast",149316
326,86,1307,1558,77,60,86,70,75,86,88,72,86,84,0,86,0,568,86,661,"Ikeja","Lagos","Southwest",313196
327,53,786,973,52,23,53,44,45,53,85,19,53,36,0,53,0,549,53,1036,"Ikenne","Ogun","Southwest",118735
328,87,1096,1819,84,19,87,22,45,87,52,29,87,34,857,87,986,1062,87,1221,"Ikere","Ekiti","Southwest",147355
329,102,1208,1185,101,10,102,10,50,102,50,13,102,13,0,102,0,885,102,868,"Ikole","Ekiti","Southwest",168436
330,109,3058,1539,101,26,109,24,45,109,42,36,109,34,2714,109,2490,853,109,783,"Ikom","Cross River","South-South",162383
331,83,982,1111,79,11,83,14,69,83,84,19,83,23,473,83,570,673,83,811,"Ikono","Akwa Ibom","South-South",131904
332,68,803,1191,45,38,68,56,50,68,74,33,68,49,675,68,993,481,68,708,"Ikorodu","Lagos","Southwest",535619
333,50,627,479,47,17,50,34,35,50,70,14,50,28,196,50,392,320,50,640,"Ikot-Abasi","Akwa Ibom","South-South",132023
334,55,2076,1545,49,37,55,68,36,55,66,26,55,48,506,55,920,821,55,1493,"Ikot-Ekpene","Akwa Ibom","South-South",143077
335,32,387,656,26,17,32,54,19,32,60,9,32,29,320,32,1000,384,32,1200,"Ikpoba-Okha","Edo","South-South",371106
336,69,3644,962,58,43,69,63,42,69,61,38,69,56,2496,69,3618,413,69,599,"Ikwerre","Rivers","South-South",189726
337,64,951,834,61,18,64,29,27,64,43,2,64,4,6,64,10,490,64,766,"Ikwo","Ebonyi","Southeast",214604
338,85,734,908,77,26,85,31,47,85,56,9,85,11,0,85,0,497,85,585,"Ikwuano","Abia","Southeast",137993
339,34,454,305,31,3,34,9,9,34,27,4,34,12,206,34,606,146,34,430,"Ila","Osun","Southwest",62049
340,33,324,381,27,5,33,16,21,33,64,14,33,43,206,33,625,266,33,807,"Ilejemeje","Ekiti","Southwest",43530
341,116,1217,1260,99,13,116,12,69,116,60,38,116,33,0,116,0,800,116,690,"Ile Oluji Okeigbo","Ondo","Southwest",172870
342,103,1184,1369,74,26,103,26,75,103,73,49,103,48,910,103,884,645,103,627,"Ilesha-East","Osun","Southwest",106586
343,76,924,1310,52,17,76,23,64,76,85,28,76,37,779,76,1025,724,76,953,"Ilesha-West","Osun","Southwest",103555
344,91,575,304,91,12,91,14,11,91,13,6,91,7,0,91,0,54,91,60,"Illela","Sokoto","Northwest",150489
345,118,943,2048,87,36,118,31,38,118,33,57,118,49,519,118,440,1085,118,920,"Ilorin East","Kwara","North-Central",204310
346,101,954,2426,74,38,101,38,54,101,54,54,101,54,763,101,756,1379,101,1366,"Ilorin South","Kwara","North-Central",208691
347,118,1485,3459,97,36,118,31,90,118,77,91,118,78,847,118,718,1844,118,1563,"Ilorin west","Kwara","North-Central",364666
348,101,716,1132,91,9,101,9,26,101,26,20,101,20,496,101,492,824,101,816,"Imeko Afon","Ogun","Southwest",82217
349,67,479,478,60,21,67,32,41,67,62,10,67,15,318,67,475,166,67,248,"Ingawa","Katsina","Northwest",169753
350,64,611,601,61,2,64,4,38,64,60,10,64,16,83,64,130,413,64,646,"Ini","Akwa Ibom","South-South",99196
351,141,1142,1479,123,32,141,23,57,141,41,49,141,35,987,141,700,972,141,690,"Ipokia","Ogun","Southwest",150426
352,97,925,847,95,28,97,29,39,97,41,10,97,11,680,97,702,537,97,554,"Irele","Ondo","Southwest",145166
353,94,1605,926,85,18,94,20,36,94,39,12,94,13,4401,94,4682,487,94,519,"Irepo","Oyo","Southwest",122553
354,52,946,583,39,15,52,29,36,52,70,14,52,27,467,52,899,382,52,735,"Irepodun","Osun","Southwest",119497
355,155,1360,2146,126,39,155,26,46,155,30,49,155,32,1081,155,698,1107,155,715,"Irepodun","Kwara","North-Central",148610
356,88,913,1696,83,19,88,22,37,88,43,34,88,39,300,88,341,1031,88,1172,"Irepodun/Ifelodun","Ekiti","Southwest",129149
357,65,566,641,54,6,65,10,23,65,36,28,65,44,502,65,773,422,65,650,"Irewole","Osun","Southwest",143599
358,102,490,1083,94,54,102,53,21,102,21,9,102,9,271,102,266,212,102,208,"Isa","Sokoto","Northwest",146103
359,81,835,1089,68,16,81,20,37,81,46,19,81,24,781,81,965,686,81,847,"Ise/Orun","Ekiti","Southwest",113754
360,191,1359,1735,148,38,191,20,58,191,31,70,191,37,679,191,356,1130,191,592,"Iseyin","Oyo","Southwest",256926
361,116,1942,1281,110,25,116,22,19,116,17,33,116,29,1213,116,1046,770,116,664,"Ishielu","Ebonyi","Southeast",151048
362,106,2092,1272,103,39,106,37,64,106,61,38,106,36,366,106,346,577,106,545,"Isiala Mbano","Imo","Southeast",198736
363,58,677,658,50,15,58,26,41,58,71,16,58,28,362,58,625,388,58,669,"Isiala Ngwa North","Abia","Southeast",153734
364,99,916,1385,94,23,99,24,57,99,58,36,99,37,309,99,313,844,99,853,"Isiala Ngwa South","Abia","Southeast",134762
365,84,585,744,52,29,84,35,39,84,47,42,84,50,463,84,552,417,84,497,"Isin","Kwara","North-Central",59738
366,27,256,252,26,0,27,0,10,27,38,5,27,19,0,27,0,151,27,560,"Isi-Uzo","Enugu","Southeast",148415
367,96,790,734,78,4,96,5,36,96,38,15,96,16,646,96,673,450,96,469,"Isokan","Osun","Southwest",103177
368,79,873,1239,73,33,79,42,41,79,52,35,79,45,534,79,676,660,79,836,"Isoko north","Delta","South-South",144155
369,126,2374,2248,123,44,126,35,67,126,54,76,126,61,1024,126,813,1229,126,976,"Isoko South","Delta","South-South",227712
370,38,548,429,34,5,38,14,20,38,53,15,38,40,84,38,222,219,38,577,"Isu","Imo","Southeast",164468
371,83,2794,1197,69,13,83,16,58,83,70,26,83,32,467,83,563,600,83,723,"Isuikwuato","Abia","Southeast",114442
372,71,307,325,71,23,71,33,22,71,31,0,71,0,0,71,0,149,71,210,"Itas/Gadau","Bauchi","Northeast",229969
373,85,2474,541,79,14,85,17,17,85,20,12,85,15,378,85,445,392,85,462,"Itesiwaju","Oyo","Southwest",128652
374,13,174,314,10,2,13,16,9,13,70,9,13,70,119,13,916,160,13,1231,"Itu","Akwa Ibom","South-South",127033
375,77,2761,836,68,10,77,13,41,77,54,15,77,20,137,77,178,537,77,698,"Ivo","Ebonyi","Southeast",120919
376,71,608,734,64,11,71,16,15,71,22,9,71,13,396,71,558,519,71,731,"Iwajowa","Oyo","Southwest",102980
377,162,2682,1995,127,23,162,15,74,162,46,71,162,44,1307,162,807,1207,162,746,"Iwo","Osun","Southwest",191377
378,94,1028,968,90,50,94,54,30,94,32,4,94,5,0,94,0,613,94,653,"Izzi","Ebonyi","Southeast",234072
379,117,806,1370,110,38,117,33,55,117,48,28,117,24,432,117,370,815,117,697,"Jaba","Kaduna","Northwest",155377
380,157,2036,1251,140,23,157,15,68,157,44,9,157,6,1701,157,1084,644,157,411,"Jada","Adamawa","Northeast",168473
381,67,369,422,54,30,67,45,14,67,21,7,67,11,322,67,481,165,67,247,"Jahun","Jigawa","Northwest",229094
382,80,292,452,74,25,80,32,14,80,18,1,80,2,219,80,274,251,80,314,"Jakusko","Yobe","Northeast",229083
383,172,1831,3424,146,24,172,14,106,172,62,67,172,39,1538,172,895,2062,172,1199,"Jalingo","Taraba","Northeast",139845
