"","X","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn"
"1",18534,"4a38f31c-9f5f-4e1b-aae5-aa15bbe50a46","gubio","borno","northeast","12.728723287582397 12.882349491119385 318.0 8.0","Meleram Primary School","primary_only","borno_gubio",254,"1343307249803.jpg","4a38f31c-9f5f-4e1b-aae5-aa15bbe50a46","primary_only","1343307249803.jpg",4,"formal_educ",TRUE,FALSE,0,2,NA,NA,FALSE,NA,0,1.31578947368421,TRUE,TRUE,5.5,FALSE,0,TRUE,FALSE,FALSE,FALSE,14.6666666666667,FALSE,FALSE,TRUE,TRUE,1.46666666666667,1.46666666666667,11,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2",18535,"048d245d-c08c-4a64-a676-314e42f0ebe4","gubio","borno","northeast","12.803975343704224 12.819945216178894 323.0 4.0","Gallau primaru school","primary_only","borno_gubio",254,"1343309403050.jpg","048d245d-c08c-4a64-a676-314e42f0ebe4","primary_only","1343309403050.jpg",3,"formal_educ",FALSE,FALSE,0,1,0,0,TRUE,NA,0,0.962962962962963,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,NA,Inf,Inf,17.6666666666667,1.5,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"3",18536,"f887ae88-8129-4887-811e-35b5aa6cab38","gubio","borno","northeast","12.573546767234802 12.790129780769348 319.0 4.0","Bazam primary school","primary_only","borno_gubio",254,"1343315787646.jpg","f887ae88-8129-4887-811e-35b5aa6cab38","primary_only","1343315787646.jpg",3,"formal_educ",FALSE,FALSE,1,2,0,0,FALSE,TRUE,0,2,TRUE,TRUE,7.5,FALSE,0,TRUE,FALSE,FALSE,FALSE,9,FALSE,FALSE,FALSE,FALSE,Inf,Inf,15,3,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"4",18537,"d774f28f-86e5-4ee8-b0a2-941edaa3b6ac","gubio","borno","northeast","12.64701247215271 12.739672064781189 331.0 4.0","Zowo primary school","primary_only","borno_gubio",254,"1343312915236.jpg","d774f28f-86e5-4ee8-b0a2-941edaa3b6ac","primary_only","1343312915236.jpg",7,"formal_educ",FALSE,FALSE,3,3,0,0,TRUE,TRUE,0,1.90990990990991,FALSE,TRUE,80.75,FALSE,2,FALSE,FALSE,FALSE,FALSE,40.375,FALSE,FALSE,FALSE,FALSE,Inf,Inf,46.1428571428571,7,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",18538,"246ee23b-033b-4ce9-ae2d-a4f9ce1ec6fb","gubio","borno","northeast","12.72839605808258 12.563236355781555 329.0 3.0","Kandugure pri sch","primary_only","borno_gubio",254,"1343380561018.jpg","246ee23b-033b-4ce9-ae2d-a4f9ce1ec6fb","primary_only","1343380561018.jpg",3,"formal_educ",NA,FALSE,0,1,NA,NA,TRUE,NA,NA,0.886363636363636,FALSE,FALSE,20.75,FALSE,0,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,NA,Inf,Inf,27.6666666666667,Inf,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"6",18539,"b88b0866-2901-460a-8160-d2c4f6e4a147","gubio","borno","northeast","12.523775696754456 12.906376719474792 313.0 6.0","Fungal Primary School","primary_only","borno_gubio",254,"1343317267509.jpg","b88b0866-2901-460a-8160-d2c4f6e4a147","primary_only","1343317267509.jpg",8,"formal_educ",TRUE,FALSE,4,4,NA,NA,FALSE,NA,50,1.37777777777778,TRUE,TRUE,53.5,FALSE,0,FALSE,FALSE,FALSE,FALSE,30.5714285714286,TRUE,FALSE,TRUE,FALSE,4.75555555555556,4.65217391304348,26.75,Inf,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7",18540,"0519327a-5c59-4f51-adb8-cdd16718ce99","gubio","borno","northeast","12.45056371 12.80875805 326.20001220703125 5.0","Dumai pramary school","primary_only","borno_gubio",254,"1343373151899.jpg","0519327a-5c59-4f51-adb8-cdd16718ce99","primary_only","1343373151899.jpg",3,"formal_educ",FALSE,FALSE,1,1,NA,NA,FALSE,TRUE,0,1.36,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,19.6666666666667,TRUE,FALSE,TRUE,FALSE,2.36,2.36,19.6666666666667,Inf,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8",18541,"14ef16c1-d6e5-4a95-876a-000556ce6ae8","gubio","borno","northeast","12.89825433 12.81621003 326.1000061035156 5.0","Gazabure pri sch","primary_only","borno_gubio",254,"1343304314529.jpg","14ef16c1-d6e5-4a95-876a-000556ce6ae8","primary_only","1343304314529.jpg",8,"formal_educ",FALSE,FALSE,0,0,NA,NA,TRUE,NA,0,1.46153846153846,FALSE,NA,NA,FALSE,3,TRUE,FALSE,FALSE,FALSE,10.6666666666667,FALSE,FALSE,FALSE,TRUE,0.266666666666667,0.266666666666667,4,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"9",18542,"098cd3b6-71ef-4bb8-877d-b126f713439d","gubio","borno","northeast","12.58160828 12.67975151 325.5 5.0","Ngetra pramary school","primary_only","borno_gubio",254,"1343313180060.jpg","098cd3b6-71ef-4bb8-877d-b126f713439d","primary_only","1343313180060.jpg",9,"formal_educ",FALSE,FALSE,0,7,NA,NA,TRUE,NA,0,1,FALSE,NA,NA,FALSE,6,FALSE,FALSE,FALSE,FALSE,41.6666666666667,FALSE,FALSE,FALSE,TRUE,41.6666666666667,8.62068965517241,27.7777777777778,1.28571428571429,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"10",18543,"e7477f51-046b-48f4-8b33-28ff40220113","gubio","borno","northeast","12.79676685 12.65379518 341.3999938964844 5.0","Mallam Sulumti pri.Sch","primary_only","borno_gubio",254,"1343300477822.jpg","e7477f51-046b-48f4-8b33-28ff40220113","primary_only","1343300477822.jpg",3,"formal_educ",FALSE,FALSE,0,1,NA,NA,FALSE,TRUE,0,1.22429906542056,TRUE,TRUE,59.5,FALSE,3,TRUE,FALSE,FALSE,FALSE,79.3333333333333,FALSE,FALSE,FALSE,TRUE,119,23.8,79.3333333333333,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"11",18544,"cab163d5-b8c5-4412-854a-c22b7bd16847","gubio","borno","northeast","12.498139142990112 12.787442207336426 328.0 4.0","Central Primary School","primary_only","borno_gubio",254,"1343225178900.jpg","cab163d5-b8c5-4412-854a-c22b7bd16847","primary_only","1343225178900.jpg",36,"formal_educ",TRUE,FALSE,5,36,0,0,FALSE,NA,46,1.27272727272727,FALSE,FALSE,462.5,FALSE,11,FALSE,FALSE,FALSE,FALSE,57.8125,FALSE,FALSE,FALSE,FALSE,30.8333333333333,30.8333333333333,25.6944444444444,Inf,18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"12",18545,"06c2d622-5ab3-46ed-bcce-51c76afd92e3","gubio","borno","northeast","12.60930677 12.46936114 335.70001220703125 5.0","Jilli pramary school","primary_only","borno_gubio",254,"1343307074384.jpg","06c2d622-5ab3-46ed-bcce-51c76afd92e3","primary_only","1343307074384.jpg",4,"formal_educ",FALSE,FALSE,0,2,NA,NA,FALSE,TRUE,0,1.46808510638298,FALSE,FALSE,116,FALSE,3,FALSE,FALSE,FALSE,FALSE,77.3333333333333,FALSE,FALSE,TRUE,TRUE,46.4,11.047619047619,58,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"13",18546,"2648b308-555f-4caa-b068-433661b8cdc2","gubio","borno","northeast","12.604858875274658 12.859035730361938 306.0 8.0","Kingowa Primary School","primary_only","borno_gubio",254,"1343302468843.jpg","2648b308-555f-4caa-b068-433661b8cdc2","primary_only","1343302468843.jpg",3,"formal_educ",TRUE,FALSE,0,1,NA,NA,FALSE,TRUE,20,0.833333333333333,TRUE,TRUE,6.875,FALSE,2,FALSE,FALSE,FALSE,FALSE,18.3333333333333,FALSE,TRUE,FALSE,FALSE,1.1,1.1,18.3333333333333,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"14",18547,"4056a29e-7e04-4bc1-967c-026ffe20cbe6","gubio","borno","northeast","12.64724850654602 13.031131625175476 305.0 6.0","Shataram Lawanti Primary School","primary_only","borno_gubio",254,"1343311127578.jpg","4056a29e-7e04-4bc1-967c-026ffe20cbe6","primary_only","1343311127578.jpg",1,"formal_educ",TRUE,FALSE,0,1,0,0,FALSE,NA,0,0.8,TRUE,TRUE,9,FALSE,0,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,NA,3,3,36,Inf,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"15",18548,"77a1a37a-b90c-4b6d-ad86-2b1a0f7f54f8","gubio","borno","northeast","12.40932914 12.87241962 323.1000061035156 5.0","Gamasuno Primary School","primary_only","borno_gubio",254,"1343374891316.jpg","77a1a37a-b90c-4b6d-ad86-2b1a0f7f54f8","primary_only","1343374891316.jpg",7,"formal_educ",TRUE,FALSE,0,4,NA,NA,FALSE,TRUE,50,1.52173913043478,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,58,TRUE,FALSE,TRUE,TRUE,5.8,5.8,24.8571428571429,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"16",18549,"43e36057-5c6d-4752-a468-aed536c786b3","gubio","borno","northeast","12.495006322860718 12.775425910949707 326.0 4.0","Integrated Early Child's Care Development (IECD)","preprimary_only","borno_gubio",254,"1343231891077.jpg","43e36057-5c6d-4752-a468-aed536c786b3","preprimary_only","1343231891077.jpg",6,"formal_educ",FALSE,TRUE,0,5,0,0,FALSE,FALSE,0,1.25641025641026,TRUE,TRUE,44,FALSE,3,FALSE,FALSE,FALSE,FALSE,58.6666666666667,TRUE,TRUE,FALSE,TRUE,4.4,4.4,29.3333333333333,Inf,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"17",18550,"06a7a79e-3b94-4d4e-ae44-c4ca5dfbb870","gubio","borno","northeast","12.50998039 12.60934293 335.1000061035156 5.0","Baramkurugu pramary school","primary_only","borno_gubio",254,"1343301544402.jpg","06a7a79e-3b94-4d4e-ae44-c4ca5dfbb870","primary_only","1343301544402.jpg",3,"formal_educ",FALSE,FALSE,2,1,NA,NA,TRUE,TRUE,0,1.54929577464789,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,90.5,FALSE,FALSE,FALSE,TRUE,36.2,20.1111111111111,60.3333333333333,1.5,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18",18551,"3baeaae8-9a32-43a0-86e6-889ad2c7a02b","gubio","borno","northeast","12.57509571 12.49642595 340.1000061035156 5.0","Dabira pramary school","primary_only","borno_gubio",254,"1343305468586.jpg","3baeaae8-9a32-43a0-86e6-889ad2c7a02b","primary_only","1343305468586.jpg",3,"formal_educ",FALSE,FALSE,0,1,NA,NA,TRUE,TRUE,0,1.43181818181818,TRUE,TRUE,35.6666666666667,FALSE,0,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,NA,Inf,Inf,71.3333333333333,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"19",18552,"9f19b96a-482e-4a89-83db-22b25d9eaa63","gubio","borno","northeast","12.498085498809814 12.786734104156494 325.0 4.0","Govt. Day Junior Sec. School's","juniors_sec_only","borno_gubio",254,"1343228154402.jpg","9f19b96a-482e-4a89-83db-22b25d9eaa63","juniors_sec_only","1343228154402.jpg",11,"formal_educ",TRUE,FALSE,4,10,NA,NA,FALSE,TRUE,85,1.00584795321637,FALSE,NA,NA,FALSE,2,FALSE,FALSE,TRUE,FALSE,34.3,FALSE,FALSE,FALSE,FALSE,2.28666666666667,2.28666666666667,31.1818181818182,Inf,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20",18553,"9f45a909-34dc-4586-827e-b0dbd4f4ef03","gubio","borno","northeast","12.49809665 12.78420014 330.79998779296875 5.0","Gubio alhuda islamiya pramary school","primary_only","borno_gubio",254,"1343228623635.jpg","9f45a909-34dc-4586-827e-b0dbd4f4ef03","primary_only","1343228623635.jpg",4,"religious_only",FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,1.44827586206897,FALSE,NA,NA,FALSE,0,TRUE,FALSE,FALSE,FALSE,14.2,FALSE,FALSE,FALSE,FALSE,14.2,3.73684210526316,17.75,1.33333333333333,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"21",18554,"c6a7bc69-4552-4809-91f2-987803d6560f","gubio","borno","northeast","12.50081791 12.77816273 346.5 5.0","Gubio two pramary school","primary_only","borno_gubio",254,"1343225561284.jpg","c6a7bc69-4552-4809-91f2-987803d6560f","primary_only","1343225561284.jpg",26,"formal_educ",FALSE,FALSE,4,26,NA,NA,TRUE,FALSE,0,1.38095238095238,FALSE,NA,NA,FALSE,5,TRUE,FALSE,FALSE,FALSE,58.8235294117647,FALSE,FALSE,FALSE,FALSE,100,4.42477876106195,38.4615384615385,Inf,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
