"lga_id","pop_2006","lga","state","zone","area_sq_km","surveying_effort","pop_density_2006","unique_lga"
259,107161,"Gumel","Jigawa","Northwest",223.3721011,"Others",479.742096135926,"jigawa_gumel"
260,204539,"Gummi","Zamfara","Northwest",2612.036747,"Others",78.3063256039254,"zamfara_gummi"
261,90974,"Gurara","Niger","North-Central",954.7240145,"Others",95.2882703465296,"niger_gurara"
262,115018,"Guri","Jigawa","Northwest",1059.079802,"113",108.601825644108,"jigawa_guri"
263,383162,"Gusau","Zamfara","Northwest",3365.612881,"Others",113.846129530546,"zamfara_gusau"
264,95648,"Guzamala","Borno","Northeast",2512.672291,"113",38.0662453844842,"borno_guzamala"
265,231358,"Gwadabawa","Sokoto","Northwest",992.1064398,"Others",233.198768517862,"sokoto_gwadabawa"
266,157770,"Gwagwalada","FCT","North-Central",1043.552917,"Others",151.185433368876,"fct_gwagwalada"
267,362059,"Gwale","Kano","Northwest",18.28695902,"Others",19798.7538334846,"kano_gwale"
268,151019,"Gwandu","Kebbi","Northwest",1019.254443,"Others",148.166143436669,"kebbi_gwandu"
269,272582,"Gwaram","Jigawa","Northwest",1911.112434,"Others",142.630017549245,"jigawa_gwaram"
270,183987,"Gwarzo","Kano","Northwest",393.0298753,"Others",468.124719169408,"kano_gwarzo"
271,163647,"Gwer East","Benue","North-Central",2293.945926,"Others",71.3386475876328,"benue_gwer_east"
272,122145,"Gwer West","Benue","North-Central",1093.949065,"113",111.655107086727,"benue_gwer_west"
273,124517,"Gwiwa","Jigawa","Northwest",450.2423204,"Others",276.555522122793,"jigawa_gwiwa"
274,276312,"Gwoza","Borno","Northeast",2877.717929,"Others",96.0177497646608,"borno_gwoza"
275,105628,"Hadejia","Jigawa","Northwest",32.46903988,"Others",3253.19135984258,"jigawa_hadejia"
276,120314,"Hawul","Borno","Northeast",2095.253027,"Others",57.422181688608,"borno_hawul"
277,169126,"Hong","Adamawa","Northeast",2621.70324,"Others",64.509971006482,"adamawa_hong"
278,306795,"Ibadan North","Oyo","Southwest",27.29787875,"Others",11238.7853580015,"oyo_ibadan_north"
279,330399,"Ibadan North East","Oyo","Southwest",17.90617077,"Others",18451.6837376281,"oyo_ibadan_north_east"
280,152834,"Ibadan North West","Oyo","Southwest",25.98089141,"Others",5882.55412749905,"oyo_ibadan_north_west"
281,266046,"Ibadan South East","Oyo","Southwest",16.87535101,"Others",15765.3609600385,"oyo_ibadan_south_east"
282,282585,"Ibadan South West","Oyo","Southwest",40.37622405,"Others",6998.79710519885,"oyo_ibadan_south_west"
283,128129,"Ibaji","Kogi","North-Central",1377.374211,"Others",93.0241026561517,"kogi_ibaji"
284,102979,"Ibarapa Central","Oyo","Southwest",440.6734031,"Others",233.685535082387,"oyo_ibarapa_central"
285,118226,"Ibarapa East","Oyo","Southwest",838.8874459,"Others",140.931898048804,"oyo_ibarapa_east"
286,101092,"Ibarapa North","Oyo","Southwest",1219.702735,"113",82.8824902159459,"oyo_ibarapa_north"
287,117481,"Ibeju/lekki","Lagos","Southwest",455.3042673,"113",258.027452052392,"lagos_ibeju_lekki"
288,75380,"Ibeno","Akwa Ibom","South-South",243.2822484,"Others",309.845870365608,"akwa_ibom_ibeno"
289,137101,"Ibesikpo-Asutan","Akwa Ibom","South-South",154.4795722,"Others",887.502457752145,"akwa_ibom_ibesikpo_asutan"
290,84054,"Ibi","Taraba","Northeast",2670.165966,"148",31.4789421595077,"taraba_ibi"
291,189640,"Ibiono-Ibom","Akwa Ibom","South-South",336.9332489,"148",562.841454855303,"akwa_ibom_ibiono_ibom"
292,79815,"Idah","Kogi","North-Central",35.86498674,"Others",2225.42951370962,"kogi_idah"
293,129024,"Idanre","Ondo","Southwest",1915.218309,"Others",67.3677770276579,"ondo_idanre"
294,158406,"Ideato North","Imo","Southeast",190.2519118,"Others",832.611869711577,"imo_ideato_north"
295,159879,"Ideato South","Imo","Southeast",88.49410163,"Others",1806.66278379168,"imo_ideato_south"
296,430783,"Idemili North","Anambra","Southeast",115.4812102,"Others",3730.32980217244,"anambra_idemili_north"
297,207683,"Idemili South","Anambra","Southeast",137.0704782,"Others",1515.15485119246,"anambra_idemili_south"
298,103261,"Ido","Oyo","Southwest",987.3803117,"148",104.580776805457,"oyo_ido"
299,159114,"Ido Osi","Ekiti","Southwest",231.7622731,"Others",686.539693763471,"ekiti_ido_osi"
300,427878,"Ifako-Ijaye","Lagos","Southwest",26.65039245,"Others",16055.2232318065,"lagos_ifako_ijaye"
301,37058,"Ifedayo","Osun","Southwest",128.34704,"148",288.732798200878,"osun_ifedayo"
302,176327,"Ifedore","Ondo","Southwest",295.5063647,"148",596.694423752965,"ondo_ifedore"
303,206042,"Ifelodun","Kwara","North-Central",3438.212687,"113",59.9270664025678,"kwara_ifelodun"
304,96748,"Ifelodun","Osun","Southwest",114.5308019,"Others",844.733455061926,"osun_ifelodun"
305,524837,"Ifo","Ogun","Southwest",521.9265769,"Others",1005.57630752832,"ogun_ifo"
306,430229,"Igabi","Kaduna","Northwest",3727.482972,"Others",115.420782128794,"kaduna_igabi"
307,148020,"Igalamela-Odolu","Kogi","North-Central",2175.41586,"148",68.0421627522749,"kogi_igalamela_odolu"
308,209248,"Igbo Etiti","Enugu","Southeast",325.4243512,"113",643.000436901539,"enugu_igbo_etiti"
309,259431,"Igbo Eze - North","Enugu","Southeast",293.282841,"Others",884.576128338855,"enugu_igbo_eze_north"
310,147328,"Igbo-Eze South","Enugu","Southeast",157.804741,"Others",933.609466143986,"enugu_igbo_eze_south"
311,69639,"Iguegben","Edo","South-South",380.2498975,"Others",183.140088814883,"edo_iguegben"
312,302158,"Ihiala","Anambra","Southeast",251.8348016,"Others",1199.82622767099,"anambra_ihiala"
313,120744,"Ihitte/Uboma","Imo","Southeast",103.9749319,"Others",1161.27991424056,"imo_ihitte_uboma"
314,290615,"ijaye","Ondo","Southwest",1319.392871,"Others",220.26418846703,"ondo_ijaye"
315,110196,"Ijebu East","Ogun","Southwest",2236.583066,"Others",49.2697998456544,"ogun_ijebu_east"
316,284336,"Ijebu North","Ogun","Southwest",967.9979216,"Others",293.736167873193,"ogun_ijebu_north"
317,67634,"Ijebu North East","Ogun","Southwest",118.1602525,"Others",572.392141765269,"ogun_ijebu_north_east"
318,154032,"Ijebu-ode","Ogun","Southwest",191.9014879,"Others",802.661832826779,"ogun_ijebu_ode"
319,221405,"Ijero","Ekiti","Southwest",391.1449345,"113",566.043377969401,"ekiti_ijero"
320,119929,"Ijumu","Kogi","North-Central",1306.333111,"Others",91.8058334356956,"kogi_ijumu"
321,72939,"Ika","Akwa Ibom","South-South",112.7666613,"Others",646.813509942943,"akwa_ibom_ika"
322,183657,"Ika North","Delta","South-South",463.11865,"Others",396.565761279534,"delta_ika_north"
323,193926,"Ikara","Kaduna","Northwest",852.9789685,"113",227.351443777128,"kaduna_ikara"
324,162594,"Ika South","Delta","South-South",435.8570098,"Others",373.044361669459,"delta_ika_south"
325,149316,"Ikeduru","Imo","Southeast",178.761578,"148",835.280162944187,"imo_ikeduru"
326,313196,"Ikeja","Lagos","Southwest",46.22704785,"113",6775.1676684238,"lagos_ikeja"
327,118735,"Ikenne","Ogun","Southwest",143.9043352,"113",825.096754972535,"ogun_ikenne"
328,147355,"Ikere","Ekiti","Southwest",262.8659453,"Others",560.570901764505,"ekiti_ikere"
329,168436,"Ikole","Ekiti","Southwest",1073.271679,"113",156.93696507201,"ekiti_ikole"
330,162383,"Ikom","Cross River","South-South",1960.78659,"Others",82.815233859795,"cross_river_ikom"
331,131904,"Ikono","Akwa Ibom","South-South",258.9647779,"Others",509.351121297797,"akwa_ibom_ikono"
332,535619,"Ikorodu","Lagos","Southwest",394.4667107,"Others",1357.83067486105,"lagos_ikorodu"
333,132023,"Ikot-Abasi","Akwa Ibom","South-South",359.5677943,"Others",367.171370998395,"akwa_ibom_ikot_abasi"
334,143077,"Ikot-Ekpene","Akwa Ibom","South-South",115.858655,"Others",1234.92716189395,"akwa_ibom_ikot_ekpene"
335,371106,"Ikpoba-Okha","Edo","South-South",862.9547205,"Others",430.041103182076,"edo_ikpoba_okha"
336,189726,"Ikwerre","Rivers","South-South",655.7053418,"Others",289.346430332833,"rivers_ikwerre"
337,214604,"Ikwo","Ebonyi","Southeast",577.0883626,"113",371.873726638895,"ebonyi_ikwo"
338,137993,"Ikwuano","Abia","Southeast",281.516886,"113",490.17663544346,"abia_ikwuano"
339,62049,"Ila","Osun","Southwest",303.033354,"Others",204.759638439008,"osun_ila"
340,43530,"Ilejemeje","Ekiti","Southwest",95.00090309,"Others",458.206170511468,"ekiti_ilejemeje"
341,172870,"Ile Oluji Okeigbo","Ondo","Southwest",698.2742342,"113",247.567490726697,"ondo_ile_oluji_okeigbo"
342,106586,"Ilesha-East","Osun","Southwest",70.63900163,"Others",1508.88316001813,"osun_ilesha_east"
343,103555,"Ilesha-West","Osun","Southwest",62.88933406,"Others",1646.62261968306,"osun_ilesha_west"
344,150489,"Illela","Sokoto","Northwest",1246.748775,"113",120.705151685431,"sokoto_illela"
345,204310,"Ilorin East","Kwara","North-Central",486.3142165,"148",420.119324231189,"kwara_ilorin_east"
346,208691,"Ilorin South","Kwara","North-Central",174.6443191,"Others",1194.94868814201,"kwara_ilorin_south"
347,364666,"Ilorin west","Kwara","North-Central",104.6956114,"Others",3483.1068382299,"kwara_ilorin_west"
348,82217,"Imeko Afon","Ogun","Southwest",1657.508241,"Others",49.602769968973,"ogun_imeko_afon"
349,169753,"Ingawa","Katsina","Northwest",892.4487239,"Others",190.210367782453,"katsina_ingawa"
350,99196,"Ini","Akwa Ibom","South-South",372.3852151,"148",266.380070898792,"akwa_ibom_ini"
351,150426,"Ipokia","Ogun","Southwest",630.3391939,"Others",238.642942491474,"ogun_ipokia"
352,145166,"Irele","Ondo","Southwest",963.4698225,"Others",150.670001913838,"ondo_irele"
353,122553,"Irepo","Oyo","Southwest",985.5253766,"148",124.352962297937,"oyo_irepo"
354,119497,"Irepodun","Osun","Southwest",64.27142951,"Others",1859.25536293552,"osun_irepodun"
355,148610,"Irepodun","Kwara","North-Central",737.4093939,"Others",201.529843841606,"kwara_irepodun"
356,129149,"Irepodun/Ifelodun","Ekiti","Southwest",356.5173426,"Others",362.251662312261,"ekiti_irepodun_ifelodun"
357,143599,"Irewole","Osun","Southwest",271.084458,"Others",529.72051979461,"osun_irewole"
358,146103,"Isa","Sokoto","Northwest",2158.798121,"Others",67.6779355043732,"sokoto_isa"
359,113754,"Ise/Orun","Ekiti","Southwest",432.2732446,"Others",263.152997371515,"ekiti_ise_orun"
360,256926,"Iseyin","Oyo","Southwest",1350.121667,"Others",190.298405158474,"oyo_iseyin"
361,151048,"Ishielu","Ebonyi","Southeast",872.4397666,"148",173.132869205002,"ebonyi_ishielu"
362,198736,"Isiala Mbano","Imo","Southeast",165.6060344,"Others",1200.05288889401,"imo_isiala_mbano"
363,153734,"Isiala Ngwa North","Abia","Southeast",283.0211843,"148",543.18902092164,"abia_isiala_ngwa_north"
364,134762,"Isiala Ngwa South","Abia","Southeast",258.0980277,"148",522.134946945974,"abia_isiala_ngwa_south"
365,59738,"Isin","Kwara","North-Central",633.6753103,"Others",94.2722543059447,"kwara_isin"
366,148415,"Isi-Uzo","Enugu","Southeast",877.1684236,"113",169.197837048087,"enugu_isi_uzo"
367,103177,"Isokan","Osun","Southwest",179.4122024,"Others",575.083515055273,"osun_isokan"
368,144155,"Isoko north","Delta","South-South",477.7137096,"Others",301.760232338118,"delta_isoko_north"
369,227712,"Isoko South","Delta","South-South",704.3555502,"Others",323.29126949499,"delta_isoko_south"
370,164468,"Isu","Imo","Southeast",40.06010362,"148",4105.53106801974,"imo_isu"
371,114442,"Isuikwuato","Abia","Southeast",393.5685881,"Others",290.780320026257,"abia_isuikwuato"
372,229969,"Itas/Gadau","Bauchi","Northeast",1397.383052,"113",164.571195901408,"bauchi_itas_gadau"
373,128652,"Itesiwaju","Oyo","Southwest",1515.678615,"Others",84.8807911695713,"oyo_itesiwaju"
374,127033,"Itu","Akwa Ibom","South-South",174.6557249,"Others",727.33373081663,"akwa_ibom_itu"
375,120919,"Ivo","Ebonyi","Southeast",244.8451009,"Others",493.859176906243,"ebonyi_ivo"
376,102980,"Iwajowa","Oyo","Southwest",2533.069846,"148",40.6542283714035,"oyo_iwajowa"
377,191377,"Iwo","Osun","Southwest",214.7339277,"Others",891.228517308958,"osun_iwo"
378,234072,"Izzi","Ebonyi","Southeast",1068.643936,"113",219.036474277996,"ebonyi_izzi"
379,155377,"Jaba","Kaduna","Northwest",368.3228501,"Others",421.850015435684,"kaduna_jaba"
380,168473,"Jada","Adamawa","Northeast",2790.615366,"Others",60.3712722479147,"adamawa_jada"
381,229094,"Jahun","Jigawa","Northwest",1171.046568,"Others",195.631844420383,"jigawa_jahun"
382,229083,"Jakusko","Yobe","Northeast",3937.348312,"Others",58.1820509254453,"yobe_jakusko"
383,139845,"Jalingo","Taraba","Northeast",190.568538,"Others",733.830471008808,"taraba_jalingo"
384,117883,"Jama'are","Bauchi","Northeast",492.3779499,"Others",239.415676562977,"bauchi_jama_are"
385,193352,"Jega","Kebbi","Northwest",891.9516804,"Others",216.774074480459,"kebbi_jega"
386,278735,"Jema'a","Kaduna","Northwest",1661.122975,"Others",167.799136003161,"kaduna_jema_a"
387,211204,"Jere","Borno","Northeast",866.3309927,"Others",243.79134739456,"borno_jere"
388,169748,"Jibia","Katsina","Northwest",1037.127793,"Others",163.67124779193,"katsina_jibia"
389,85602,"Jos East","Plateau","North-Central",1019.20617,"Others",83.9888950044327,"plateau_jos_east"
390,429300,"Jos North","Plateau","North-Central",291.4070485,"Others",1473.19703558921,"plateau_jos_north"
391,306716,"Jos South","Plateau","North-Central",509.7119431,"Others",601.743796966173,"plateau_jos_south"
392,145446,"Kabba/Bunu","Kogi","North-Central",2707.241995,"113",53.7247871703468,"kogi_kabba_bunu"
393,153828,"Kabo","Kano","Northwest",340.7349653,"Others",451.459391214994,"kano_kabo"
394,244274,"Kachia","Kaduna","Northwest",4632.784768,"113",52.7272498578548,"kaduna_kachia"
395,357694,"Kaduna North","Kaduna","Northwest",72.42071524,"Others",4939.1116728772,"kaduna_kaduna_north"
396,402390,"kaduna South","Kaduna","Northwest",59.34320031,"Others",6780.72631570213,"kaduna_kaduna_south"
397,271058,"Kafin-Hausa","Jigawa","Northwest",1379.353275,"Others",196.510933720007,"jigawa_kafin_hausa"
398,202884,"Kafur","Katsina","Northwest",1106.438998,"Others",183.366638709168,"katsina_kafur"
399,90015,"Kaga","Borno","Northeast",2696.505367,"Others",33.3820956196154,"borno_kaga"
400,240943,"Kagarko","Kaduna","Northwest",1863.852845,"148",129.271471536156,"kaduna_kagarko"
401,124164,"Kaiama","Kwara","North-Central",6978.569934,"113",17.7921839537734,"kwara_kaiama"
402,184401,"Kaita","Katsina","Northwest",925.0114838,"113",199.349957518873,"katsina_kaita"
403,200997,"Kajola","Oyo","Southwest",609.6093244,"Others",329.714444899327,"oyo_kajola"
404,110868,"Kajuru","Kaduna","Northwest",2810.183518,"Others",39.4522276889961,"kaduna_kajuru"
405,60797,"Kala/Balge","Borno","Northeast",1892.403207,"113",32.1268743231421,"borno_kala_balge"
406,85403,"Kalgo","Kebbi","Northwest",1174.63058,"148",72.7062631044392,"kebbi_kalgo"
407,149805,"Kaltungo","Gombe","Northeast",880.453216,"Others",170.1453266087,"gombe_kaltungo"
408,165898,"Kanam","Plateau","North-Central",2597.924251,"Others",63.857904993243,"plateau_kanam"
409,245739,"Kankara","Katsina","Northwest",1462.354682,"Others",168.043363914911,"katsina_kankara"
410,121424,"Kanke","Plateau","North-Central",925.606193,"113",131.183219082027,"plateau_kanke"
411,151434,"Kankia","Katsina","Northwest",823.9709605,"Others",183.78560320634,"katsina_kankia"
412,365525,"Kano-Municipal","Kano","Northwest",17.38827426,"Others",21021.3500508704,"kano_kano_municipal"
413,106992,"Karasuwa","Yobe","Northeast",1160.996676,"113",92.1553026048457,"yobe_karasuwa"
414,141407,"Karaye","Kano","Northwest",478.6999113,"Others",295.398007524135,"kano_karaye"
415,195844,"Karin Lamido","Taraba","Northeast",6613.987032,"113",29.6105811899028,"taraba_karin_lamido"
416,205477,"Karu","Nasarawa","North-Central",2640.100178,"Others",77.8292436447084,"nasarawa_karu"
417,295970,"Katagum","Bauchi","Northeast",1435.213545,"Others",206.220183073871,"bauchi_katagum"
418,122176,"Katcha","Niger","North-Central",1682.247604,"148",72.6266452747464,"niger_katcha"
419,318459,"Katsina","Katsina","Northwest",142.0670733,"Others",2241.61019582291,"katsina_katsina"
420,224718,"Katsina-Ala","Benue","North-Central",2400.8557,"148",93.5991280109004,"benue_katsina_ala"
421,222579,"Kaura","Kaduna","Northwest",484.9275446,"Others",458.994343543833,"kaduna_kaura"
422,281367,"Kaura Namoda","Zamfara","Northwest",868.045788,"Others",324.138431278236,"zamfara_kaura_namoda"
423,17008,"Kauru","Kaduna","Northwest",2464.394547,"148",6.90149230394316,"kaduna_kauru"
424,161494,"Kazaure","Jigawa","Northwest",368.3112135,"Others",438.471580773633,"jigawa_kazaure"
425,79253,"Keana","Nasarawa","North-Central",1048.193202,"Others",75.6091528248625,"nasarawa_keana"
426,124658,"Kebbe","Sokoto","Northwest",2620.595025,"Others",47.5685860694939,"sokoto_kebbe"
427,92664,"Keffi","Nasarawa","North-Central",138.1410914,"Others",670.792441705003,"nasarawa_keffi"
428,294217,"Khana","Rivers","South-South",560.3552633,"113",525.054406141062,"rivers_khana"
429,136736,"Kibiya","Kano","Northwest",403.5965819,"Others",338.793751315464,"kano_kibiya"
430,147618,"Kirfi","Bauchi","Northeast",2369.105824,"113",62.3095846983997,"bauchi_kirfi"
431,191523,"Kiri-Kasama","Jigawa","Northwest",795.9851028,"Others",240.61128697797,"jigawa_kiri_kasama"
432,264781,"Kiru","Kano","Northwest",927.2809215,"Others",285.545613913507,"kano_kiru"
433,172913,"kiyawa","Jigawa","Northwest",1029.769609,"148",167.914258188212,"jigawa_kiyawa"
434,115900,"Kogi","Kogi","North-Central",1498.151317,"148",77.3620118908189,"kogi_kogi"
435,154605,"Koko/Besse","Kebbi","Northwest",1300.406089,"Others",118.889784743233,"kebbi_koko_besse"
436,109749,"Kokona","Nasarawa","North-Central",1844.280559,"148",59.5077573552626,"nasarawa_kokona"
437,77292,"Kolokuma","Bayelsa","South-South",361.0323431,"148",214.086082527491,"bayelsa_kolokuma"
438,156564,"Konduga","Borno","Northeast",5846.136537,"Others",26.7807635023766,"borno_konduga"
439,225672,"Konshisha","Benue","North-Central",1673.096367,"Others",134.882846231176,"benue_konshisha"
440,151944,"Kontagora","Niger","North-Central",2082.100524,"Others",72.9763036167412,"niger_kontagora"
441,665393,"Kosofe","Lagos","Southwest",81.52132353,"Others",8162.19574446843,"lagos_kosofe"
442,127956,"Kuagama","Jigawa","Northwest",882.0306666,"Others",145.069785944334,"jigawa_kuagama"
443,282045,"Kubau","Kaduna","Northwest",2504.901188,"Others",112.597255872274,"kaduna_kubau"
444,138992,"Kudan","Kaduna","Northwest",399.845138,"148",347.614580723,"kaduna_kudan"
445,97367,"Kuje","FCT","North-Central",1644.361659,"Pilot",59.2126430746462,"fct_kuje"
446,203864,"Kukawa","Borno","Northeast",4892.833905,"Others",41.665832921831,"borno_kukawa"
447,295979,"Kumbotso","Kano","Northwest",157.6100022,"Others",1877.92015651656,"kano_kumbotso"
448,91531,"Kurmi","Taraba","Northeast",4350.030595,"Others",21.0414612037918,"taraba_kurmi"
449,111018,"Kunchi","Kano","Northwest",671.0168006,"148",165.447422330904,"kano_kunchi"
450,144601,"Kura","Kano","Northwest",206.4542153,"Others",700.402264927744,"kano_kura"
451,11781,"Kurfi","Katsina","Northwest",572.005611,"Others",20.5959518113888,"katsina_kurfi"
452,99267,"Kusada","Katsina","Northwest",390.0433243,"Others",254.502497070426,"katsina_kusada"
453,85837,"Kwali","FCT","North-Central",1206.43191,"Others",71.1494774703033,"fct_kwali"
454,248697,"Kwande","Benue","North-Central",2890.177878,"148",86.0490289864436,"benue_kwande"
455,195298,"Kwami","Gombe","Northeast",1785.06687,"148",109.406545649464,"gombe_kwami"
456,133899,"Kware","Sokoto","Northwest",554.7082453,"Others",241.386352437549,"sokoto_kware"
457,56500,"Kwaya-Kusar","Borno","Northeast",731.2701577,"Others",77.2628274312526,"borno_kwaya_kusar"
458,330712,"Lafia","Nasarawa","North-Central",2755.832242,"Others",120.004401922517,"nasarawa_lafia"
459,147957,"Lagelu","Oyo","Southwest",338.750336,"113",436.772998507077,"oyo_lagelu"
460,209437,"Lagos Island","Lagos","Southwest",8.673032387,"Others",24148.070784784,"lagos_lagos_island"
461,317720,"Lagos Mainland","Lagos","Southwest",19.49257208,"Others",16299.5421382071,"lagos_lagos_mainland"
462,106305,"Langtang South","Plateau","North-Central",1187.252412,"148",89.5386683788013,"plateau_langtang_south"
463,140643,"Langtang North","Plateau","North-Central",837.941854,"Others",167.843388331334,"plateau_langtan_north"
464,110127,"Lapai","Niger","North-Central",3052.522514,"Others",36.0773751855774,"niger_lapai"
465,112803,"Larmurde","Adamawa","Northeast",1169.199512,"113",96.4788291837741,"adamawa_larmurde"
466,96590,"Lau","Taraba","Northeast",1658.667249,"Others",58.2335004554009,"taraba_lau"
467,209917,"Lavun","Niger","North-Central",2836.913739,"113",73.994847680492,"niger_lavun"
468,331161,"Lere","Kaduna","Northwest",2157.245656,"113",153.511028787535,"kaduna_lere"
469,169063,"Logo","Benue","North-Central",1407.082304,"113",120.151464857027,"benue_logo"
470,195261,"Lokoja","Kogi","North-Central",3181.167851,"Others",61.3802883549888,"kogi_lokoja"
471,61606,"Machina","Yobe","Northeast",1211.865598,"Others",50.8356703100338,"yobe_machina"
472,134827,"Madgali","Adamawa","Northeast",819.4232618,"Others",164.53889739941,"adamawa_madgali"
473,136623,"Madobi","Kano","Northwest",273.4555385,"Others",499.616869160615,"kano_madobi"
474,103518,"Mafa","Borno","Northeast",2863.860303,"148",36.1463161773502,"borno_mafa"
475,181653,"Magama","Niger","North-Central",4110.928854,"Others",44.1878238352991,"niger_magama"
476,140231,"Magumeri","Borno","Northeast",4849.148693,"Others",28.9186842635762,"borno_magumeri"
477,21178,"Mai'Adua","Katsina","Northwest",527.6774376,"Others",40.1343671170071,"katsina_mai_adua"
478,521492,"Maiduguri","Borno","Northeast",132.1589366,"Others",3945.94579387679,"borno_maiduguri"
479,179715,"Maigatari","Jigawa","Northwest",869.9295265,"148",206.585699790016,"jigawa_maigatari"
480,111215,"Maiha","Adamawa","Northeast",1271.281303,"148",87.4826049416067,"adamawa_maiha"
481,175686,"Maiyama","Kebbi","Northwest",1028.87805,"Others",170.754930577049,"kebbi_maiyama"
482,146259,"Makarfi","Kaduna","Northwest",540.5886596,"Others",270.555065117759,"kaduna_makarfi"
483,222399,"Makoda","Kano","Northwest",441.2913488,"Others",503.97317011713,"kano_makoda"
484,161413,"Malam-Maduri","Jigawa","Northwest",765.3381831,"Others",210.90415134679,"jigawa_malam_maduri"
485,182920,"Malumfashi","Katsina","Northwest",674.0145325,"Others",271.388807184213,"katsina_malumfashi"
486,294931,"Mangu","Plateau","North-Central",1652.392569,"Others",178.487246634429,"plateau_mangu"
487,176966,"Mani","Katsina","Northwest",784.4351771,"Others",225.59671616746,"katsina_mani"
488,210852,"Maradun","Zamfara","Northwest",2729.505114,"Others",77.2491683267094,"zamfara_maradun"
489,199430,"Mariga","Niger","North-Central",5555.932327,"Others",35.8949656443503,"niger_mariga"
490,297398,"Makurdi","Benue","North-Central",819.9766276,"Others",362.69082555494,"benue_makurdi"
491,229370,"Marte","Borno","Northeast",3148.690693,"Others",72.8461517385379,"borno_marte"
492,291900,"Maru","Zamfara","Northwest",6657.202419,"113",43.8472471810234,"zamfara_maru"
493,215022,"Mashegu","Niger","North-Central",9189.618326,"Others",23.3983602334868,"niger_mashegu"
494,173134,"Mashi","Katsina","Northwest",904.7329356,"113",191.364758800542,"katsina_mashi"
495,115325,"Matazu","Katsina","Northwest",503.2248054,"Others",229.171930243644,"katsina_matazu"
496,153129,"Mayo-Belwa","Adamawa","Northeast",1766.114066,"Others",86.7039128151081,"adamawa_mayo_belwa"
497,237555,"Mbaitoli","Imo","Southeast",204.0664026,"Others",1164.10637406905,"imo_mbaitoli"
498,104012,"Mbo","Akwa Ibom","South-South",215.1422705,"113",483.456829558745,"akwa_ibom_mbo"
499,155302,"Michika","Adamawa","Northeast",965.6970725,"113",160.818546956919,"adamawa_michika"
500,128424,"Miga","Jigawa","Northwest",585.5921233,"Pilot",219.306228499607,"jigawa_miga"
501,97411,"Mikang","Plateau","North-Central",739.0941768,"113",131.797818272298,"plateau_mikang"
502,213794,"Minjibir","Kano","Northwest",415.9763537,"148",513.957098999399,"kano_minjibir"
503,263487,"Misau","Bauchi","Northeast",1225.552602,"Others",214.99444378806,"bauchi_misau"
504,146496,"Moba","Ekiti","Southwest",199.6412389,"Others",733.796287816966,"ekiti_moba"
505,116654,"Mobbar","Borno","Northeast",2786.205968,"148",41.8684050424803,"borno_mobbar"
506,151072,"Mubi North","Adamawa","Northeast",901.234246,"148",167.627895489449,"adamawa_mubi_north"
507,128937,"Mubi South","Adamawa","Northeast",413.500381,"Others",311.818334213337,"adamawa_mubi_south"
508,244937,"Mokwa","Niger","North-Central",4341.392669,"Others",56.4189924005236,"niger_mokwa"
509,109851,"Monguno","Borno","Northeast",1910.15426,"Others",57.5089678882793,"borno_monguno"
510,44037,"Mopa Muro","Kogi","North-Central",901.915616,"Others",48.8260755427479,"kogi_mopa_muro"
511,108792,"Moro","Kwara","North-Central",3275.667914,"Others",33.2121579037453,"kwara_moro"
512,103651,"Moya","Niger","North-Central",2176.987338,"113",47.6121280958962,"niger_moya"
513,178036,"Mpkat-Enin","Akwa Ibom","South-South",329.5264845,"Others",540.27827314135,"akwa_ibom_mpkat_enin"
514,778567,"Municipal-Area-Council","FCT","North-Central",1769.431546,"Others",440.009675288111,"fct_municipal_area_council"
515,171714,"Musawa","Katsina","Northwest",848.6334685,"113",202.341772241805,"katsina_musawa"
